product_id,category,product_name,location_id,year,month,original_value,original_unit,original_currency,price_mad,price_usd,price_real_mad,confidence,precision,collection_method,source_id
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2002,,1640.0000,MAD/tonne,MAD,1.6400,0.1488,2.0617,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2002,,68.3300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2003,,1500.0000,MAD/tonne,MAD,1.5000,0.1567,1.8639,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2003,,62.5000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2003,,156.7000,USD/tonne,USD,1.4996,0.1567,1.8635,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2004,,67.0800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2004,,181.6000,USD/tonne,USD,1.6108,0.1816,1.9722,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2004,,1610.0000,MAD/tonne,MAD,1.6100,0.1815,1.9712,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2005,,220.0000,USD/tonne,USD,1.9514,0.2200,2.3659,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2005,,81.2500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2005,,1950.0000,MAD/tonne,MAD,1.9500,0.2198,2.3642,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2006,,67.0800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2006,,183.0000,USD/tonne,USD,1.6104,0.1830,1.8904,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2006,,1610.0000,MAD/tonne,MAD,1.6100,0.1830,1.8899,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2007,,98.3300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2007,,288.1000,USD/tonne,USD,2.3624,0.2881,2.7177,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2007,,2360.0000,MAD/tonne,MAD,2.3600,0.2878,2.7149,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2008,,124.5800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2008,,2990.0000,MAD/tonne,MAD,2.9900,0.3858,3.3164,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2008,,385.8000,USD/tonne,USD,2.9900,0.3858,3.3164,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2009,,198.6000,USD/tonne,USD,1.6007,0.1986,1.7584,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2009,,1600.0000,MAD/tonne,MAD,1.6000,0.1985,1.7576,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2009,,66.6700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2010,,71.2500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2010,,1710.0000,MAD/tonne,MAD,1.7100,0.2031,1.8600,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2010,,203.2000,USD/tonne,USD,1.7109,0.2032,1.8610,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2011,,2250.0000,MAD/tonne,MAD,2.2500,0.2781,2.4253,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2011,,278.1000,USD/tonne,USD,2.2498,0.2781,2.4251,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2011,,93.7500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2012,,2920.0000,MAD/tonne,MAD,2.9200,0.3384,3.1075,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2012,,121.6700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2012,,338.4000,USD/tonne,USD,2.9204,0.3384,3.1079,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2013,,273.6000,USD/tonne,USD,2.3010,0.2736,2.4035,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2013,,95.8300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2013,,2300.0000,MAD/tonne,MAD,2.3000,0.2735,2.4025,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,2014,,2370.0000,MAD/tonne,MAD,2.3700,0.2818,2.4647,official,exact,file_download,FAOSTAT
